,State,Participation_act,English,Math_act,Reading,Science,Composite,Participation_sat,Evidence-Based Reading and Writing,Math_sat,Total
1,Alaska,0.65,0.5194444444444444,0.55,0.5666666666666667,0.5527777777777777,0.55,0.38,0.68375,0.66625,0.675
2,Arizona,0.62,0.5166666666666667,0.55,0.5583333333333333,0.55,0.5472222222222222,0.3,0.70375,0.69125,0.6975
4,California,0.31,0.625,0.6305555555555555,0.6416666666666667,0.6166666666666667,0.6333333333333333,0.53,0.66375,0.655,0.659375
9,Florida,0.73,0.5277777777777778,0.5388888888888889,0.5833333333333334,0.5388888888888889,0.55,0.83,0.65,0.62125,0.635625
10,Georgia,0.55,0.5833333333333334,0.5805555555555555,0.6111111111111112,0.5916666666666667,0.5944444444444444,0.61,0.66875,0.64375,0.65625
11,Hawaii,0.9,0.49444444444444446,0.5333333333333333,0.5333333333333333,0.5361111111111111,0.5277777777777778,0.55,0.68,0.67625,0.678125
14,Indiana,0.35,0.6111111111111112,0.6222222222222222,0.6444444444444444,0.6194444444444445,0.6277777777777778,0.63,0.6775,0.665,0.67125
30,New Jersey,0.34,0.6611111111111111,0.6611111111111111,0.6694444444444445,0.6444444444444444,0.6638888888888889,0.7,0.6625,0.6575,0.66
32,New York,0.31,0.6611111111111111,0.6666666666666666,0.6833333333333333,0.6638888888888889,0.6722222222222222,0.67,0.66,0.65375,0.6575
37,Oregon,0.4,0.5888888888888889,0.5972222222222222,0.6222222222222222,0.6027777777777777,0.6055555555555556,0.43,0.7,0.685,0.6925
43,Texas,0.45,0.5416666666666666,0.575,0.5861111111111111,0.5805555555555555,0.575,0.62,0.64125,0.63375,0.6375
